
PSRJ	DM	dDM/dt
 	pc/cm3	pc/cm3/yr
-----------	---------	---------
J1743-3150 	 193.0500	 -0.02000
J1744-1134 	   3.1401	  0.00016
J1745-3040 	  88.3730	 -0.00810
J1748-1300 	  99.3640	  0.00020
J1748-2021 	 220.4000	 -0.00100
J1748-2444 	 207.3300	  0.02000
J1749-3002 	 509.4000	 -0.06000
J1750-3157 	 206.3400	  0.00800
J1750-3503 	 190.6000	  0.70000
J1752-2806 	  50.3720	  0.00140
J1753-2501 	 672.0000	
J1754+5201 	  35.3500	 -0.00100
J1756-2435 	 367.1000	
J1757-2421 	 179.4540	  2.00000
J1759-2205 	 177.1570	 -0.02730
J1759-2922 	  79.4200	  0.00900
J1801-0357 	 120.3700	  0.00300
J1801-2304 	1074.0000	
J1801-2451 	 289.0000	
J1801-2920 	 125.6130	 -0.00800
J1803-2137 	 233.9900	  6.00000
J1803-2712 	 165.5000	  0.02000
J1804-0735 	 186.3160	  0.00100
J1804-2717 	  24.6740	  0.00020
J1805+0306 	  80.8570	  0.00090
J1806-1154 	 122.4100	 -0.00700
J1807-0847 	 112.3802	 -0.00060
J1807-2715 	 312.9800	  0.00400
J1808-0813 	 151.2700	 -0.01900
J1808-2057 	 606.8000	
J1809-2109 	 381.9100	  0.00700
J1812+0226 	 104.1400	 -0.01500
J1812-1718 	 255.1000	  0.04000
J1812-1733 	 518.0000	
J1813+4013 	  41.4870	  0.00000
J1816-1729 	 525.5000	
J1816-2650 	 128.1200	  0.00200
J1818-1422 	 622.0000	
J1820-0427 	  84.4350	 -0.00190
J1820-1346 	 776.7000	
J1820-1818 	 436.0000	
J1821+17   	  60.2000	 -0.10000
J1822+0705 	  62.2000	 -0.05000
J1822-1400 	 651.1000	
J1822-2256 	 121.2000	  0.00500
J1823+0550 	  66.7750	 -0.00080
J1823-0154 	 135.8700	 -0.01200
J1823-1115 	 428.5900	 -0.01000
J1823-3021A	  86.8340	  0.00130
J1823-3021B	  86.9090	 -0.00200
J1823-3106 	  50.2450	  0.00140
J1824-1118 	 603.0000	
J1824-1945 	 224.6480	 -3.00000
J1824-2452 	 119.8570	  0.00980
J1825+0004 	  56.6180	 -0.00200
J1825-0935 	  19.3800	 -1.90000
J1825-1446 	 357.0000	
J1826-1131 	 320.5800	  0.00400
J1826-1334 	 231.0000	
J1827-0958 	 430.0000	 -0.07000
J1829-1751 	 217.1080	 -1.00000
J1830-1059 	 161.5000	  1.50000
J1832-0827 	 300.8690	 -7.00000
J1832-1021 	 475.7000	
J1833-0338 	 234.5380	 -2.00000
J1833-0827 	 411.0000	
